spherical,cartesian
[82.89292389 -7.05302213  1.        ],[ 0.1227878   0.98480775 -0.1227878 ]
[82.23826733 -6.3246103   1.        ],[ 0.13423186  0.98480775 -0.11016124]
[81.65925731 -5.53614961  1.        ],[ 0.14438318  0.98480775 -0.09647376]
[81.16092896 -4.69532475  1.        ],[ 0.15314402  0.98480775 -0.08185718]
[80.74751363 -3.81024302  1.        ],[ 0.16043     0.98480775 -0.06645228]
[80.42244614 -2.88935605  1.        ],[ 0.16617095  0.98480775 -0.05040741]
[80.18837727 -1.9413851   1.        ],[ 0.17031158  0.98480775 -0.03387708]
[80.04718764 -0.97524978  1.        ],[ 0.17281201  0.98480775 -0.0170205 ]
[80.  0.  1.],[0.17364818 0.98480775 0.        ]
[80.04718764  0.97524978  1.        ],[0.17281201 0.98480775 0.0170205 ]
[80.18837727  1.9413851   1.        ],[0.17031158 0.98480775 0.03387708]
[80.42244614  2.88935605  1.        ],[0.16617095 0.98480775 0.05040741]
[80.74751363  3.81024302  1.        ],[0.16043    0.98480775 0.06645228]
[81.16092896  4.69532475  1.        ],[0.15314402 0.98480775 0.08185718]
[81.65925731  5.53614961  1.        ],[0.14438318 0.98480775 0.09647376]
[82.23826733  6.3246103   1.        ],[0.13423186 0.98480775 0.11016124]
[82.89292389  7.05302213  1.        ],[0.1227878  0.98480775 0.1227878 ]
[83.61738993  7.71420423  1.        ],[0.11016124 0.98480775 0.13423186]
[84.40504148  8.30156232  1.        ],[0.09647376 0.98480775 0.14438318]
[85.24849941  8.80917136  1.        ],[0.08185718 0.98480775 0.15314402]
[86.13968079  9.23185567  1.        ],[0.06645228 0.98480775 0.16043   ]
[87.06987144  9.56526382  1.        ],[0.05040741 0.98480775 0.16617095]
[88.02981998  9.80593527  1.        ],[0.03387708 0.98480775 0.17031158]
[89.00985182  9.95135593  1.        ],[0.0170205  0.98480775 0.17281201]
[90. 10.  1.],[6.03020831e-17 9.84807753e-01 1.73648178e-01]
[90.99014818  9.95135593  1.        ],[-0.0170205   0.98480775  0.17281201]
[91.97018002  9.80593527  1.        ],[-0.03387708  0.98480775  0.17031158]
[92.93012856  9.56526382  1.        ],[-0.05040741  0.98480775  0.16617095]
[93.86031921  9.23185567  1.        ],[-0.06645228  0.98480775  0.16043   ]
[94.75150059  8.80917136  1.        ],[-0.08185718  0.98480775  0.15314402]
[95.59495852  8.30156232  1.        ],[-0.09647376  0.98480775  0.14438318]
[96.38261007  7.71420423  1.        ],[-0.11016124  0.98480775  0.13423186]
[97.10707611  7.05302213  1.        ],[-0.1227878   0.98480775  0.1227878 ]
[97.76173267  6.3246103   1.        ],[-0.13423186  0.98480775  0.11016124]
[98.34074269  5.53614961  1.        ],[-0.14438318  0.98480775  0.09647376]
[98.83907104  4.69532475  1.        ],[-0.15314402  0.98480775  0.08185718]
[99.25248637  3.81024302  1.        ],[-0.16043     0.98480775  0.06645228]
[99.57755386  2.88935605  1.        ],[-0.16617095  0.98480775  0.05040741]
[99.81162273  1.9413851   1.        ],[-0.17031158  0.98480775  0.03387708]
[99.95281236  0.97524978  1.        ],[-0.17281201  0.98480775  0.0170205 ]
[1.00000000e+02 1.21843878e-15 1.00000000e+00],[-1.73648178e-01  9.84807753e-01  2.12657685e-17]
[99.95281236 -0.97524978  1.        ],[-0.17281201  0.98480775 -0.0170205 ]
[99.81162273 -1.9413851   1.        ],[-0.17031158  0.98480775 -0.03387708]
[99.57755386 -2.88935605  1.        ],[-0.16617095  0.98480775 -0.05040741]
[99.25248637 -3.81024302  1.        ],[-0.16043     0.98480775 -0.06645228]
[98.83907104 -4.69532475  1.        ],[-0.15314402  0.98480775 -0.08185718]
[98.34074269 -5.53614961  1.        ],[-0.14438318  0.98480775 -0.09647376]
[97.76173267 -6.3246103   1.        ],[-0.13423186  0.98480775 -0.11016124]
[97.10707611 -7.05302213  1.        ],[-0.1227878   0.98480775 -0.1227878 ]
[96.38261007 -7.71420423  1.        ],[-0.11016124  0.98480775 -0.13423186]
